zip,primary_city,state,area_codes,country
80279,Denver,CO,303,US
80280,Denver,CO,303,US
80281,Denver,CO,303,US
80290,Denver,CO,303,US
80291,Denver,CO,303,US
80293,Denver,CO,303,US
80294,Denver,CO,"3,03,720",US
80295,Denver,CO,720,US
80299,Denver,CO,"3,03,720",US
80301,Boulder,CO,"3,03,720",US
80302,Boulder,CO,"3,03,720",US
80303,Boulder,CO,"3,03,720",US
80304,Boulder,CO,"7,20,303",US
80305,Boulder,CO,"3,03,720",US
80306,Boulder,CO,303,US
80307,Boulder,CO,303,US
80308,Boulder,CO,303,US
80309,Boulder,CO,303,US
80310,Boulder,CO,303,US
80314,Boulder,CO,303,US
80321,Boulder,CO,303,US
80322,Boulder,CO,303,US
80323,Boulder,CO,303,US
80328,Boulder,CO,303,US
80329,Boulder,CO,303,US
80401,Golden,CO,"3,03,720",US
80402,Golden,CO,303,US
80403,Golden,CO,"3,03,720",US
80419,Golden,CO,303,US
80420,Alma,CO,719,US
80421,Bailey,CO,"7,20,303",US
80422,Black Hawk,CO,303,US
80423,Bond,CO,970,US
80424,Breckenridge,CO,"9,70,303",US
80425,Buffalo Creek,CO,303,US
80426,Burns,CO,970,US
80427,Central City,CO,303,US
80428,Clark,CO,970,US
80429,Climax,CO,719,US
80430,Coalmont,CO,970,US
80432,Como,CO,719,US
80433,Conifer,CO,303,US
80434,Cowdrey,CO,970,US
80435,Dillon,CO,970,US
80436,Dumont,CO,303,US
80437,Evergreen,CO,303,US
80438,Empire,CO,303,US
80439,Evergreen,CO,"30,37,20,970",US
80440,Fairplay,CO,"7,19,970",US
80442,Fraser,CO,970,US
80443,Frisco,CO,970,US
80444,Georgetown,CO,303,US
80446,Granby,CO,970,US
80447,Grand Lake,CO,970,US
80448,Grant,CO,303,US
80449,Hartsel,CO,719,US
80451,Hot Sulphur Springs,CO,970,US
80452,Idaho Springs,CO,"3,03,720",US
80453,Idledale,CO,"7,20,303",US
80454,Indian Hills,CO,303,US
80455,Jamestown,CO,303,US
80456,Jefferson,CO,719,US
80457,Kittredge,CO,303,US
80459,Kremmling,CO,970,US
80461,Leadville,CO,"7,19,970",US
80463,Mc Coy,CO,970,US
80465,Morrison,CO,"3,03,720",US
80466,Nederland,CO,303,US
80467,Oak Creek,CO,970,US
80468,Parshall,CO,970,US
80469,Phippsburg,CO,970,US
80470,Pine,CO,303,US
80471,Pinecliffe,CO,303,US
80473,Rand,CO,970,US
80474,Rollinsville,CO,303,US
80475,Shawnee,CO,303,US
80476,Silver Plume,CO,303,US
80477,Steamboat Springs,CO,970,US
80478,Tabernash,CO,970,US
80479,Toponas,CO,970,US
80480,Walden,CO,970,US
80481,Ward,CO,303,US
80482,Winter Park,CO,970,US
80483,Yampa,CO,970,US
80487,Steamboat Springs,CO,970,US
80488,Steamboat Springs,CO,970,US
80497,Silverthorne,CO,970,US
80498,Silverthorne,CO,970,US
80501,Longmont,CO,"72,09,70,303",US
80502,Longmont,CO,303,US
80503,Longmont,CO,"7,20,303",US
80504,Longmont,CO,"30,39,70,720",US
80510,Allenspark,CO,"3,03,720",US
80511,Estes Park,CO,970,US
80512,Bellvue,CO,970,US
80513,Berthoud,CO,"9,70,303",US
80514,Dacono,CO,303,US
80515,Drake,CO,970,US
80516,Erie,CO,"3,03,720",US
80517,Estes Park,CO,970,US
80520,Firestone,CO,303,US
80521,Fort Collins,CO,970,US
80522,Fort Collins,CO,970,US
80523,Fort Collins,CO,970,US
80524,Fort Collins,CO,970,US
80525,Fort Collins,CO,970,US
80526,Fort Collins,CO,970,US
80527,Fort Collins,CO,970,US
80528,Fort Collins,CO,970,US
80530,Frederick,CO,303,US
80532,Glen Haven,CO,970,US
80533,Hygiene,CO,303,US
80534,Johnstown,CO,970,US
80535,Laporte,CO,970,US
80536,Livermore,CO,970,US
80537,Loveland,CO,"9,70,303",US
80538,Loveland,CO,"9,70,303",US
80539,Loveland,CO,970,US
80540,Lyons,CO,303,US
80541,Masonville,CO,970,US
80542,Mead,CO,970,US
80543,Milliken,CO,970,US
80544,Niwot,CO,303,US
80545,Red Feather Lakes,CO,970,US
80546,Severance,CO,970,US
80547,Timnath,CO,970,US
80549,Wellington,CO,970,US
80550,Windsor,CO,970,US
80551,Windsor,CO,970,US
80553,Fort Collins,CO,970,US
80601,Brighton,CO,"7,20,303",US
80602,Brighton,CO,"3,03,720",US
80603,Brighton,CO,"3,03,720",US
80610,Ault,CO,970,US
80611,Briggsdale,CO,970,US
80612,Carr,CO,970,US
80614,Eastlake,CO,303,US
80615,Eaton,CO,970,US
80620,Evans,CO,970,US
80621,Fort Lupton,CO,"3,03,970",US
80622,Galeton,CO,970,US
80623,Gilcrest,CO,970,US
80624,Gill,CO,,US
80631,Greeley,CO,970,US
80632,Greeley,CO,970,US
80633,Greeley,CO,970,US
80634,Greeley,CO,"9,70,303",US
80638,Greeley,CO,970,US
80639,Greeley,CO,970,US
80640,Henderson,CO,"7,20,303",US
80642,Hudson,CO,303,US
80643,Keenesburg,CO,303,US
80644,Kersey,CO,970,US
80645,La Salle,CO,970,US
80646,Lucerne,CO,970,US
80648,Nunn,CO,970,US
80649,Orchard,CO,970,US
80650,Pierce,CO,970,US
80651,Platteville,CO,"9,70,303",US
80652,Roggen,CO,303,US
80653,Weldona,CO,970,US
80654,Wiggins,CO,970,US
80701,Fort Morgan,CO,"9,70,303",US
80705,Log Lane Village,CO,970,US
80720,Akron,CO,970,US
80721,Amherst,CO,970,US
80722,Atwood,CO,970,US
80723,Brush,CO,970,US
80726,Crook,CO,970,US
80727,Eckley,CO,970,US
80728,Fleming,CO,970,US
80729,Grover,CO,970,US
80731,Haxtun,CO,970,US
80732,Hereford,CO,970,US
80733,Hillrose,CO,970,US
80734,Holyoke,CO,970,US
80735,Idalia,CO,970,US
80736,Iliff,CO,970,US
80737,Julesburg,CO,"3,08,970",US
80740,Lindon,CO,"9,70,719",US
80741,Merino,CO,970,US
80742,New Raymer,CO,970,US
80743,Otis,CO,970,US
80744,Ovid,CO,970,US
80745,Padroni,CO,970,US
80746,Paoli,CO,970,US
